10000 10
7400 50 152
23406 3756 2083
28799 4240 169
35852 4056 1811
37977 8087 229
38807 2556 1483
44000 8810 53
52573 268 1825
54119 445 443
63919 5312 752
0 0 0 0
1 0 0 0
2 23406 1416 3
3 23406 1417 3421
4 38807 14 2758
5 0 0 0
6 52573 1686 6388
7 38807 583 7352
8 38807 313 5010
9 52573 1770 6069
10 38807 98 4972
11 0 0 0
12 52573 848 1946
13 0 0 0
14 44000 37 2397
15 38807 812 78
16 38807 860 3441
17 0 0 0
18 52573 565 9478
19 0 0 0
20 38807 198 2068
21 0 0 0
22 52573 771 7793
23 38807 1219 3754
24 35852 711 25
25 35852 712 26
26 35852 713 27
27 35852 714 2774
28 52573 498 8037
29 23406 1577 30
30 23406 1578 2552
31 38807 791 441
32 52573 1451 9305
33 23406 1612 34
34 23406 1613 754
35 52573 600 3518
36 23406 1095 37
37 23406 1096 6838
38 35852 1084 39
39 35852 1085 40
40 35852 1086 41
41 35852 1087 42
42 35852 1088 43
43 35852 1089 44
44 35852 1090 45
45 35852 1091 46
46 35852 1092 47
47 35852 1093 48
48 35852 1094 6633
49 52573 1709 8598
50 7400 1 4718
51 0 0 0
52 52573 1108 1848
53 23406 2031 2915
54 52573 1731 6884
55 38807 1433 1006
56 38807 1024 6964
57 38807 338 9025
58 52573 1603 3248
59 52573 1008 3324
60 38807 889 3025
61 0 0 0
62 52573 406 5115
63 0 0 0
64 38807 247 6096
65 0 0 0
66 52573 1651 2970
67 23406 1912 3267
68 38807 1379 4105
69 0 0 0
70 52573 1823 3131
71 38807 839 508
72 38807 775 9522
73 23406 1401 8713
74 23406 1139 75
75 23406 1140 2362
76 52573 1632 3320
77 0 0 0
78 38807 813 5230
79 23406 1954 6103
80 38807 1336 9088
81 52573 56 1842
82 23406 2003 691
83 52573 1121 2985
84 23406 389 85
85 23406 390 86
86 23406 391 87
87 23406 392 88
88 23406 393 5078
89 38807 436 9485
90 35852 201 91
91 35852 202 92
92 35852 203 93
93 35852 204 94
94 35852 205 95
95 35852 206 96
96 35852 207 97
97 35852 208 98
98 35852 209 99
99 35852 210 100
100 35852 211 101
101 35852 212 102
102 35852 213 103
103 35852 214 104
104 35852 215 105
105 35852 216 8720
106 52573 1606 414
107 0 0 0
108 44000 13 4014
109 23406 2066 7907
110 52573 1019 3951
111 52573 418 9709
112 38807 212 9706
113 23406 1327 6294
114 23406 1321 115
115 23406 1322 4522
116 38807 1198 3968
117 35852 279 118
118 35852 280 119
119 35852 281 120
120 35852 282 121
121 35852 283 122
122 35852 284 123
123 35852 285 124
124 35852 286 125
125 35852 287 1742
126 52573 1317 4902
127 23406 1027 128
128 23406 1028 2072
129 38807 1125 8611
130 38807 1134 755
131 35852 1650 132
132 35852 1651 133
133 35852 1652 134
134 35852 1653 135
135 35852 1654 136
136 35852 1655 137
137 35852 1656 7980
138 52573 549 8574
139 0 0 0
140 38807 1097 4297
141 23406 1174 142
142 23406 1175 143
143 23406 1176 9064
144 38807 72 2223
145 23406 1713 4867
146 52573 192 1835
147 23406 1893 9523
148 38807 838 71
149 35852 480 150
150 35852 481 151
151 35852 482 152
152 35852 483 153
153 35852 484 154
154 35852 485 155
155 35852 486 156
156 35852 487 157
157 35852 488 6446
158 52573 1406 3321
159 0 0 0
160 52573 675 7718
161 0 0 0
162 52573 1587 4912
163 38807 1149 1209
164 35852 1001 165
165 35852 1002 166
166 35852 1003 167
167 35852 1004 168
168 35852 1005 169
169 35852 1006 170
170 35852 1007 171
171 35852 1008 172
172 35852 1009 173
173 35852 1010 7370
174 52573 1487 6082
175 0 0 0
176 52573 1825 1
177 23406 1394 3883
178 23406 1215 179
179 23406 1216 5117
180 52573 705 2202
181 0 0 0
182 38807 1315 4977
