1000 7
8261 744 195
11942 71 55
14312 768 50
22943 246 164
43160 987 4
44695 658 127
63080 645 205
0 0 0 0
1 0 0 0
2 22943 144 385
3 0 0 0
4 22943 113 210
5 22943 17 948
6 22943 88 431
7 0 0 0
8 22943 66 268
9 0 0 0
10 63080 203 11
11 63080 204 626
12 44695 74 726
13 63080 166 14
14 63080 167 15
15 63080 168 212
16 22943 37 594
17 44695 36 162
18 22943 141 763
19 0 0 0
20 11942 43 21
21 11942 44 22
22 11942 45 23
23 11942 46 24
24 11942 47 848
25 44695 30 332
26 22943 154 34
27 0 0 0
28 63080 47 29
29 63080 48 30
30 63080 49 31
31 63080 50 78
32 44695 121 189
33 0 0 0
34 22943 155 422
35 0 0 0
36 22943 16 5
37 0 0 0
38 44695 58 996
39 0 0 0
40 14312 26 83
41 0 0 0
42 63080 150 43
43 63080 151 44
44 63080 152 168
45 44695 55 264
46 0 0 0
47 22943 36 16
48 44695 93 456
49 22943 121 414
50 44695 4 926
51 0 0 0
52 22943 106 77
53 14312 28 703
54 22943 151 764
55 0 0 0
56 44695 2 308
57 22943 5 538
58 63080 16 59
59 63080 17 60
60 63080 18 61
61 63080 19 91
62 44695 53 436
63 0 0 0
64 63080 191 65
65 63080 192 868
66 44695 125 630
67 22943 28 157
68 63080 136 69
69 63080 137 175
70 22943 104 424
71 11942 1 72
72 11942 2 73
73 11942 3 512
74 22943 43 426
75 0 0 0
76 0 0 0
77 22943 107 521
78 63080 51 79
79 63080 52 80
80 63080 53 81
81 63080 54 82
82 63080 55 640
83 14312 27 53
84 14312 17 412
85 44695 89 722
86 22943 58 540
87 22943 153 26
88 22943 3 864
89 0 0 0
90 44695 16 452
91 63080 20 92
92 63080 21 93
93 63080 22 94
94 63080 23 95
95 63080 24 96
96 63080 25 336
97 14312 25 40
98 22943 158 656
99 63080 100 100
100 63080 101 101
101 63080 102 216
102 44695 21 494
103 0 0 0
104 63080 122 105
105 63080 123 952
106 14312 41 766
107 0 0 0
108 0 0 0
109 8261 165 110
110 8261 166 111
111 8261 167 112
112 8261 168 113
113 8261 169 114
114 8261 170 115
115 8261 171 116
116 8261 172 117
117 8261 173 118
118 8261 174 119
119 8261 175 120
120 8261 176 121
121 8261 177 122
122 8261 178 123
123 8261 179 124
124 8261 180 125
125 8261 181 772
126 14312 4 555
127 0 0 0
128 63080 32 129
129 63080 33 130
130 63080 34 131
131 63080 35 396
132 22943 19 522
133 0 0 0
134 22943 76 491
135 22943 32 394
136 14312 10 140
137 22943 97 401
138 22943 163 627
139 0 0 0
140 14312 11 423
141 63080 202 10
142 8261 194 143
143 8261 195 1
144 44695 104 812
145 0 0 0
146 44695 106 523
147 63080 140 148
148 63080 141 149
149 63080 142 535
150 44695 25 344
151 44695 20 102
152 44695 91 916
153 0 0 0
154 22943 138 710
155 0 0 0
156 22943 101 171
157 22943 29 496
158 63080 107 159
159 63080 108 402
160 44695 70 894
161 0 0 0
162 44695 37 892
163 0 0 0
164 22943 92 853
165 0 0 0
166 0 0 0
167 22943 13 904
168 63080 153 169
169 63080 154 170
170 63080 155 672
171 22943 102 384
172 14312 22 374
173 0 0 0
174 22943 27 67
175 63080 138 176
176 63080 139 147
177 8261 154 178
178 8261 155 179
179 8261 156 180
180 8261 157 181
181 8261 158 182
182 8261 159 183
183 8261 160 184
184 8261 161 185
185 8261 162 186
186 8261 163 187
187 8261 164 109
188 44695 62 433
189 44695 122 230
190 22943 112 4
191 0 0 0
192 22943 74 539
193 63080 116 194
194 63080 117 195
195 63080 118 371
196 22943 160 597
197 11942 16 198
198 11942 17 199
199 11942 18 576
200 22943 61 862
201 0 0 0
202 22943 34 530
203 0 0 0
204 22943 22 416
205 11942 11 206
206 11942 12 207
