100 30
170 13 3
176 78 6
2480 47 1
3584 70 2
4552 91 2
8952 60 1
9176 61 1
10614 50 6
12643 6 2
13944 56 4
14457 95 3
24670 33 3
25507 52 3
30971 8 5
33325 40 5
34367 29 4
34760 72 3
37858 26 3
40755 89 2
44185 7 1
48633 22 4
51241 62 5
51291 93 5
57253 27 2
57677 4 2
59377 19 4
64092 76 3
64383 85 4
64439 48 1
64637 16 3
0 0 0 0
1 0 0 0
2 10614 5 3
3 10614 6 1
4 57677 1 5
5 57677 2 1
6 12643 1 49
7 44185 1 1
8 30971 1 9
9 30971 2 10
10 30971 3 11
11 30971 4 12
12 30971 5 1
13 170 1 14
14 170 2 15
15 170 3 1
16 64637 1 17
17 64637 2 18
18 64637 3 1
19 59377 1 20
20 59377 2 21
21 59377 3 98
22 48633 1 23
23 48633 2 24
24 48633 3 25
25 48633 4 1
26 37858 1 69
27 57253 1 28
28 57253 2 1
29 34367 1 30
30 34367 2 31
31 34367 3 32
32 34367 4 1
33 24670 1 34
34 24670 2 35
35 24670 3 1
36 64092 3 1
37 0 0 0
38 10614 3 39
39 10614 4 2
40 33325 1 41
41 33325 2 42
42 33325 3 43
43 33325 4 44
44 33325 5 1
45 0 0 0
46 37858 3 1
47 2480 1 1
48 64439 1 1
49 12643 2 1
50 10614 1 51
51 10614 2 38
52 25507 1 53
53 25507 2 54
54 25507 3 1
55 0 0 0
56 13944 1 57
57 13944 2 58
58 13944 3 59
59 13944 4 1
60 8952 1 1
61 9176 1 1
62 51241 1 63
63 51241 2 64
64 51241 3 65
65 51241 4 66
66 51241 5 1
67 51291 3 68
68 51291 4 84
69 37858 2 46
70 3584 1 71
71 3584 2 1
72 34760 1 73
73 34760 2 74
74 34760 3 1
75 0 0 0
76 64092 1 77
77 64092 2 36
78 176 1 79
79 176 2 80
80 176 3 81
81 176 4 82
82 176 5 83
83 176 6 1
84 51291 5 1
85 64383 1 86
86 64383 2 87
87 64383 3 88
88 64383 4 1
89 40755 1 90
90 40755 2 1
91 4552 1 92
92 4552 2 1
93 51291 1 94
94 51291 2 67
95 14457 1 96
96 14457 2 97
97 14457 3 1
98 59377 4 1
99 0 0 0
