50000 1000
183 26214 27
250 19903 74
285 15303 25
318 27696 63
324 16839 35
398 29433 68
441 29845 73
533 25109 56
575 15568 36
576 635 40
643 13318 55
663 21145 58
682 40397 36
847 2174 57
869 27055 38
892 33760 25
997 16432 26
999 19549 71
1147 30522 28
1220 20584 35
1260 30836 68
1273 10487 71
1466 13538 84
1484 9060 2
1580 21596 11
1592 40484 33
1663 16190 38
1733 39982 88
1735 36663 11
1748 162 69
1749 1134 6
1753 41656 13
1860 22172 29
1926 1532 12
1983 7646 52
2103 9564 36
2182 1694 75
2327 82 86
2412 1613 14
2457 33994 3
2458 14424 63
2495 15984 20
2572 42798 91
2825 31957 79
2871 1575 9
2895 29133 74
2963 11275 46
2988 5569 58
2992 31790 63
3034 30643 35
3067 1762 53
3076 43726 90
3122 28573 71
3123 24054 1
3313 362 58
3363 34774 5
3411 46582 37
3413 14327 66
3419 46200 74
3420 13466 57
3440 4641 29
3544 32040 79
3588 17468 3
3789 28128 28
3790 11968 77
3801 20684 81
3841 476 45
3843 4664 15
3909 13120 26
3937 45065 77
4023 16296 36
4127 908 1
4131 37236 76
4132 7104 51
4139 30224 13
4155 10241 28
4174 45780 81
4178 47168 18
4228 39341 66
4231 34393 70
4504 35021 53
4527 42114 52
4528 47305 43
4533 9844 32
4538 41176 73
4698 8952 63
4711 33957 45
4715 25223 30
4739 3709 97
4829 15974 48
4866 30028 88
4891 20962 69
4899 43332 25
4944 2411 42
4976 46273 55
5117 24313 78
5253 27950 30
5370 19897 39
5404 11541 11
5617 23571 41
5634 8047 91
5684 44139 73
5743 27415 83
5799 43108 91
5829 1520 12
5858 8876 55
5989 4472 47
6022 33845 63
6044 17388 91
6097 24068 32
6120 30716 5
6121 40644 73
6302 9658 52
6313 15493 15
6320 43982 19
6414 26662 69
6430 4270 75
6438 10459 7
6483 14630 1
6678 26232 85
6728 16509 20
6856 47229 84
6865 19022 50
6881 48073 19
6960 7130 3
6982 12232 29
7026 32215 61
7086 28418 63
7089 23087 67
7183 39900 81
7184 18297 83
7193 25121 81
7245 5200 71
7282 32646 62
7347 892 52
7354 15405 95
7383 13396 101
7386 15526 27
7396 29976 15
7470 26996 75
7549 46328 56
7579 28185 23
7592 3542 77
7616 13092 63
7649 1630 9
7776 49234 8
7863 20508 26
7870 37302 88
7956 18820 31
8057 17414 2
8068 9769 5
8299 30456 60
8328 6711 2
8335 40919 69
8391 23778 63
8418 20342 19
8436 30964 70
8444 14574 72
8540 9522 26
8624 30152 7
8627 33503 87
8715 10332 87
8805 11976 56
8888 20823 1
8939 23124 79
9082 27720 66
9116 42020 52
9144 39386 45
9295 28576 25
9442 17001 68
9492 24248 64
9535 16795 88
9622 2665 80
9640 37282 13
9764 40703 41
9794 43477 20
9910 39312 69
10026 22991 36
10058 48140 85
10090 24776 33
10196 33562 37
10244 38054 6
10382 37959 53
10420 11000 12
10482 14944 61
10669 22646 54
10980 5094 12
11116 6406 12
11196 43498 57
11219 16653 93
11281 41164 5
11292 11408 83
11306 2456 57
11365 9347 49
11397 44310 70
11421 33187 71
11514 41806 35
11549 27557 72
11569 1788 23
11608 675 59
11611 3996 71
11623 9775 68
11739 35004 20
11774 41069 29
11921 36065 53
11932 45532 86
11988 27152 85
11991 29060 58
11998 16758 1
12067 36508 43
12121 44629 23
12480 18730 97
12628 27556 25
12791 48044 17
12800 9578 67
12978 38539 59
13033 41207 45
13117 19256 62
13160 41153 7
13288 38865 62
13569 30772 85
13593 27980 19
13646 30244 82
13759 28047 1
13837 16692 10
13965 17051 27
14097 43562 41
14102 18319 15
14173 17929 27
14181 7469 93
14208 36680 74
14278 19048 53
14336 36671 7
14346 47784 22
14366 32389 56
14484 47238 83
14541 10116 60
14702 16412 15
14843 22761 93
14920 24599 89
14971 28636 78
14997 7552 9
14999 2610 82
15006 33430 11
15031 883 9
15074 11964 61
15135 26108 77
15207 30921 44
15334 32542 79
15364 21496 16
15400 40028 93
15531 20643 63
15692 33196 75
15773 39215 43
15872 5695 38
15875 49580 85
15941 2442 95
15961 14639 33
16014 42518 17
16140 8204 55
16190 13005 83
16228 14842 61
16246 49679 8
16266 25129 37
16409 14129 11
16436 7732 66
16571 15270 37
16578 32171 13
16619 4115 3
16681 35255 86
16736 23742 10
16750 25074 77
16751 31310 90
16787 4734 63
16885 16624 84
16979 28396 28
17015 13767 25
17040 2651 72
17087 22006 84
17115 42769 82
17151 23853 59
17176 49242 11
17200 45431 52
17259 22600 40
17344 24161 27
17527 6006 7
17556 43172 49
17659 39360 36
17728 3120 59
17746 10576 53
17749 3398 73
17778 16078 33
17865 25754 69
17871 22104 80
17872 8518 30
17943 45286 45
17953 41201 66
18006 19184 4
18153 40679 91
18284 3586 25
18301 23230 6
18451 48241 14
18470 26732 87
18472 36432 48
18697 17554 100
18887 2916 16
18889 19142 22
18903 49956 20
18932 34195 44
19001 14205 20
19292 33645 92
19381 46560 90
19418 49519 5
19545 36000 21
19551 47686 82
